experiment_id,lookback_days,top_k,transaction_cost_bps,status,error,signals,rebalances,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,annualized_turnover,total_transaction_costs
lb63_top1_cost0bps,63,1,0.0,ok,,105,104,2889376.773284033,1.8893767732840328,0.12606944224792693,0.20879284984495322,0.6752840746165953,0.944640569511712,-0.25522604857157527,0.4939520983594752,9.287913602941178,0.0
lb63_top1_cost10bps,63,1,10.0,ok,,105,104,2659021.5576478173,1.6590215576478173,0.11564871352825845,0.20881231445695456,0.6305637586535486,0.880378758346814,-0.2596857609509202,0.4453409886809916,9.287913602941178,122300.9969785769
lb63_top1_cost25bps,63,1,25.0,ok,,105,104,2346731.4426023276,1.3467314426023274,0.10015988935093922,0.209005037007031,0.5630580331309708,0.7838001276713413,-0.2663418928933886,0.37605758622069735,9.287913602941178,285563.8307358944
lb63_top2_cost0bps,63,2,0.0,ok,,105,104,2230557.776640787,1.230557776640787,0.09392705824748226,0.16285063595660462,0.6346959558427181,0.8810897365178947,-0.3447634041047404,0.27243917750315194,6.925623695867099,0.0
lb63_top2_cost10bps,63,2,10.0,ok,,105,104,2096608.8773754374,1.0966088773754374,0.08637215792929198,0.16284643046007843,0.5920111032334756,0.8199408540564392,-0.3507003899914535,0.24628475015781096,6.925623695867099,87958.04441707827
lb63_top2_cost25bps,63,2,25.0,ok,,105,104,1910323.3813087186,0.9103233813087186,0.07511911780372826,0.1629434266332226,0.5276449568424868,0.7282496502553781,-0.3595184845452932,0.20894368727309354,6.925623695867099,209154.46508167492
lb63_top3_cost0bps,63,3,0.0,ok,,105,104,2694318.4780107704,1.6943184780107705,0.11729625476795547,0.12662993207217746,0.9421656138729987,1.3370651123652344,-0.27020015411915366,0.434108763373354,5.348378249639842,0.0
lb63_top3_cost10bps,63,3,10.0,ok,,105,104,2568521.3051031963,1.568521305103196,0.11133400007218763,0.1266439555117389,0.8996787631734158,1.2740024201039628,-0.27322861314695346,0.40747562559382344,5.348378249639842,76029.39953529825
lb63_top3_cost25bps,63,3,25.0,ok,,105,104,2390572.7361418786,1.3905727361418787,0.10244096774117484,0.12672968946059146,0.8355393441580502,1.1791982462914687,-0.2777514003042757,0.36882250684947443,5.348378249639842,182494.40487585732
lb126_top1_cost0bps,126,1,0.0,ok,,102,101,1601364.3646644577,0.6013643646644578,0.054102819919882084,0.21491791225747037,0.3540913106703324,0.4844927646645565,-0.3975532759390925,0.13608948333297335,6.826056985294119,0.0
lb126_top1_cost10bps,126,1,10.0,ok,,102,101,1506509.5418293069,0.5065095418293069,0.046924858967330785,0.21503405617719523,0.3221403424253314,0.4401462562463766,-0.418876564051046,0.11202550582804228,6.826056985294119,58281.43820164255
lb126_top1_cost25bps,126,1,25.0,ok,,102,101,1374344.1133906818,0.37434411339068174,0.03622303027367657,0.21532430420848844,0.27413075168352546,0.3736902422134517,-0.4495294357287868,0.08057988508572529,6.826056985294119,139183.42687086787
lb126_top2_cost0bps,126,2,0.0,ok,,102,101,2147339.929812559,1.147339929812559,0.08928256818705749,0.15987401371613658,0.6168676181700906,0.8465084223224009,-0.3410520870114797,0.2617857259558487,4.799009348674997,0.0
lb126_top2_cost10bps,126,2,10.0,ok,,102,101,2057146.93138794,1.05714693138794,0.08406467941810236,0.15986309098393747,0.5867620140525915,0.8041140444825109,-0.3470413279055906,0.24223247394031233,4.799009348674997,53604.770908425344
lb126_top2_cost25bps,126,2,25.0,ok,,102,101,1928735.1591324543,0.9287351591324544,0.07627372450282799,0.15990933279000386,0.541383786130602,0.7403924671329232,-0.35593423085683573,0.21429162438019875,4.799009348674997,129344.53417468382
lb126_top3_cost0bps,126,3,0.0,ok,,102,101,2118177.299168374,1.1181772991683738,0.08761708534190027,0.1370900031085423,0.683409987738776,0.9389460781479082,-0.25334557315019723,0.3458402065306901,3.4523789711399924,0.0
lb126_top3_cost10bps,126,3,10.0,ok,,102,101,2053799.5057739555,1.0537995057739553,0.08386713948352309,0.13708925981995276,0.6581333843908469,0.903396470076236,-0.2555002441313611,0.3282468076249831,3.452378971139993,39031.454475042134
lb126_top3_cost25bps,126,3,25.0,ok,,102,101,1960788.5079097652,0.9607885079097653,0.07826064367346186,0.1371267674987213,0.6200432771659347,0.8499220655337882,-0.2587232012002195,0.30248792265405633,3.452378971139993,95096.748425711
lb189_top1_cost0bps,189,1,0.0,ok,,99,98,2581251.4931809916,1.5812514931809916,0.11194901045603478,0.20467870542593664,0.6227971399855827,0.8709270359203598,-0.26889285666744367,0.41633315158866047,6.378446691176471,0.0
lb189_top1_cost10bps,189,1,10.0,ok,,99,98,2438096.912493375,1.4380969124933753,0.10487207968642243,0.2046874443365519,0.5914793288986517,0.8259523973287306,-0.2703550709541088,0.387904984790257,6.378446691176471,77260.47105658006
lb189_top1_cost25bps,189,1,25.0,ok,,99,98,2237636.2315486087,1.237636231548609,0.09431497830714641,0.20481552778317375,0.5442019616333462,0.7583768227266006,-0.28005768365414185,0.3367698292599642,6.378446691176471,184151.40924086867
lb189_top2_cost0bps,189,2,0.0,ok,,99,98,3095158.0567317354,2.0951580567317354,0.13477215782748475,0.15388345049436988,0.9014209880906886,1.2767563920293932,-0.2915626362782615,0.462240839731127,4.925467589055483,0.0
lb189_top2_cost10bps,189,2,10.0,ok,,99,98,2961810.148452128,1.9618101484521278,0.12919375114177334,0.1537907561394829,0.8697138602510118,1.230223614153898,-0.2951680791292064,0.4376955378200645,4.925467589055483,67339.39043650817
lb189_top2_cost25bps,189,2,25.0,ok,,99,98,2772246.1858138563,1.7722461858138563,0.1208668306547167,0.15371300791263853,0.8217536316842425,1.1602063783671615,-0.30054844798625857,0.4021542332510826,4.925467589055483,161955.02232710496
lb189_top3_cost0bps,189,3,0.0,ok,,99,98,2817384.0960113313,1.8173840960113314,0.12289444058449028,0.1273518232286618,0.9769286753585288,1.3815118236058808,-0.2570988939599447,0.47800454794502895,2.491524618283799,0.0
lb189_top3_cost10bps,189,3,10.0,ok,,99,98,2755323.4539447636,1.7553234539447637,0.12009909286580367,0.12732171335234332,0.9574838070327825,1.352999897203192,-0.2582508527093548,0.4650481948300388,2.491524618283799,28440.30060248987
lb189_top3_cost25bps,189,3,25.0,ok,,99,98,2664697.572416025,1.6646975724160251,0.11591495634629578,0.12730561850522978,0.9280872790746905,1.3100178111082341,-0.2599766986033676,0.44586671409017686,2.491524618283799,69804.10922932018
lb252_top1_cost0bps,252,1,0.0,ok,,96,95,3805940.848097804,2.805940848097804,0.16132879771332198,0.2060506940903219,0.831645914014491,1.1752983631931844,-0.2903002070394699,0.5557309082159467,4.8118106617647065,0.0
lb252_top1_cost10bps,252,1,10.0,ok,,96,95,3645598.941381644,2.645598941381644,0.15574862242281862,0.20605192222269675,0.8081844699134109,1.1408407694128815,-0.2973688736965886,0.5237556321437059,4.8118106617647065,60009.228107796516
lb252_top1_cost25bps,252,1,25.0,ok,,96,95,3417115.3098305566,2.4171153098305567,0.1474080340746382,0.20614002232280715,0.7726693745135622,1.0888006177122918,-0.3078661618243903,0.47880557317864997,4.8118106617647065,144542.25404829963
lb252_top2_cost0bps,252,2,0.0,ok,,96,95,2554779.3912653504,1.5547793912653503,0.11066706625208811,0.16040234227200711,0.7368849749866137,1.0221540035963832,-0.3072117204821544,0.36023061255085365,4.070382503225722,0.0
lb252_top2_cost10bps,252,2,10.0,ok,,96,95,2463472.432155434,1.463472432155434,0.10615298599816647,0.16044670923462065,0.7112550212738314,0.9854495909983501,-0.30939566811836217,0.3430978418145036,4.070382503225722,42972.052358501
